season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid
1971,1971-11-01,,REG,GB,DET,14,14,False,,fivethirtyeight,0,G000279
1971,1971-11-07,,REG,MIA,BUF,34,0,False,,fivethirtyeight,34,G000280
1971,1971-11-07,,REG,CIN,ATL,6,9,False,,fivethirtyeight,-3,G000281
1971,1971-11-07,,REG,ARI,DAL,13,16,False,,fivethirtyeight,-3,G000282
1971,1971-11-07,,REG,NE,TEN,28,20,False,,fivethirtyeight,8,G000283
1971,1971-11-07,,REG,NYG,LAC,35,17,False,,fivethirtyeight,18,G000284
1971,1971-11-07,,REG,DEN,DET,20,24,False,,fivethirtyeight,-4,G000285
1971,1971-11-07,,REG,CHI,GB,14,17,False,,fivethirtyeight,-3,G000286
1971,1971-11-07,,REG,MIN,SF,9,13,False,,fivethirtyeight,-4,G000287
1971,1971-11-07,,REG,NO,OAK,21,21,False,,fivethirtyeight,0,G000288
1971,1971-11-07,,REG,NYJ,KC,13,10,False,,fivethirtyeight,3,G000289
1971,1971-11-07,,REG,PIT,CLE,26,9,False,,fivethirtyeight,17,G000290
1971,1971-11-07,,REG,WSH,PHI,7,7,False,,fivethirtyeight,0,G000291
1971,1971-11-08,,REG,IND,LAR,24,17,False,,fivethirtyeight,7,G000292
1971,1971-11-14,,REG,DAL,PHI,20,7,False,,fivethirtyeight,13,G000293
1971,1971-11-14,,REG,ATL,NYG,17,21,False,,fivethirtyeight,-4,G000294
1971,1971-11-14,,REG,NE,BUF,38,33,False,,fivethirtyeight,5,G000295
1971,1971-11-14,,REG,MIN,GB,3,0,False,,fivethirtyeight,3,G000296
1971,1971-11-14,,REG,KC,CLE,13,7,False,,fivethirtyeight,6,G000297
1971,1971-11-14,,REG,CHI,WSH,16,15,False,,fivethirtyeight,1,G000298
1971,1971-11-14,,REG,DEN,CIN,10,24,False,,fivethirtyeight,-14,G000299
