franchise,season,era,games,wins,losses,ties,record,explosive_per_game,explosive_allowed_per_game,explosive_diff_per_game,explosive_rate_per_play,turnover_diff_per_game,points_per_game,margin_per_game,bayes_rating_z,won_super_bowl,reached_super_bowl
CIN,2014,2008-2016,16,10,5,1,10-5-1,5.75,5.8125,-0.0625,0.09145129224652088,0.0,22.8125,1.3125,0.1143705514974807,False,False
DET,2000,1999-2007,16,9,7,0,9-7-0,5.0625,5.125,-0.0625,0.08181818181818182,-0.6875,19.1875,0.0,0.0814878713075052,False,False
HOU,2012,2008-2016,16,12,4,0,12-4-0,6.5,6.5625,-0.0625,0.09692451071761417,-0.75,26.0,5.3125,0.609187034572317,False,False
IND,2004,1999-2007,16,12,4,0,12-4-0,7.125,7.1875,-0.0625,0.12012644889357219,-1.1875,32.625,10.6875,1.8084148984969584,False,False
CIN,1999,1999-2007,16,4,12,0,4-12-0,5.6875,5.75,-0.0625,0.0893909626719057,0.3125,17.6875,-11.0625,-1.789391544663846,False,False
MIN,2018,2017-2025,16,8,7,1,8-7-1,5.375,5.4375,-0.0625,0.08634538152610442,0.0,22.5,1.1875,0.2156822721093237,False,False
CAR,2016,2008-2016,16,6,10,0,6-10-0,6.0,6.0625,-0.0625,0.09151572926596759,0.125,23.0625,-2.0625,-0.178988699017949,False,False
GB,2010,2008-2016,16,10,6,0,10-6-0,6.125,6.1875,-0.0625,0.09959349593495935,-0.625,24.25,9.25,1.982320677298833,True,True
GB,2001,1999-2007,16,12,4,0,12-4-0,5.875,5.9375,-0.0625,0.09978768577494693,-0.5625,24.375,7.75,1.0046202594399547,False,False
CAR,2007,1999-2007,16,7,9,0,7-9-0,5.125,5.1875,-0.0625,0.0835030549898167,-0.0625,16.6875,-5.0,-0.7997764292548553,False,False
BUF,2016,2008-2016,16,7,9,0,7-9-0,7.0,7.0625,-0.0625,0.1111111111111111,-0.375,24.9375,1.3125,0.078532547415203,False,False
TEN,2010,2008-2016,16,6,10,0,6-10-0,5.75,5.8125,-0.0625,0.10267857142857142,0.25,22.25,1.0625,0.1837314466580737,False,False
GB,2022,2017-2025,17,8,9,0,8-9-0,6.352941176470588,6.470588235294118,-0.11764705882352941,0.10424710424710425,-0.11764705882352941,21.764705882352942,-0.058823529411764705,-0.0001399157187863,False,False
DET,2025,2017-2025,17,9,8,0,9-8-0,6.470588235294118,6.588235294117647,-0.11764705882352941,0.10466222645099905,-0.23529411764705882,28.294117647058822,4.0,0.6356249238573791,False,False
WSH,1999,1999-2007,16,10,6,0,10-6-0,7.0625,7.1875,-0.125,0.11277445109780439,-0.75,27.6875,4.125,0.5936107789857817,False,False
WSH,2000,1999-2007,16,8,8,0,8-8-0,5.5625,5.6875,-0.125,0.08725490196078431,0.0625,17.5625,0.75,0.2561257290070637,False,False
WSH,2009,2008-2016,16,4,12,0,4-12-0,4.9375,5.0625,-0.125,0.08229166666666667,0.625,16.625,-4.375,-0.679111075100668,False,False
GB,2019,2017-2025,16,13,3,0,13-3-0,6.125,6.25,-0.125,0.0980980980980981,-0.75,23.5,3.9375,0.5465983903744146,False,False
GB,2006,1999-2007,16,8,8,0,8-8-0,5.6875,5.8125,-0.125,0.08496732026143791,0.0,18.8125,-4.0625,-0.6625242675807312,False,False
GB,2002,1999-2007,16,12,4,0,12-4-0,6.0625,6.1875,-0.125,0.09220532319391635,-1.0625,24.875,4.375,0.4975298379129231,False,False
ARI,2009,2008-2016,16,10,6,0,10-6-0,6.25,6.375,-0.125,0.10427528675703858,0.4375,23.4375,3.125,0.1222438795425029,False,False
SF,2009,2008-2016,16,8,8,0,8-8-0,5.1875,5.3125,-0.125,0.08963282937365011,-0.625,20.625,3.0625,0.2317955455252549,False,False
DET,2004,1999-2007,16,6,10,0,6-10-0,5.6875,5.8125,-0.125,0.09722222222222222,-0.25,18.5,-3.375,-0.7076772007642539,False,False
ATL,2015,2008-2016,16,8,8,0,8-8-0,6.0625,6.1875,-0.125,0.09133709981167608,0.4375,21.1875,-0.375,-0.2825381772417766,False,False
CLE,2007,1999-2007,16,10,6,0,10-6-0,6.75,6.875,-0.125,0.10964467005076142,0.125,25.125,1.25,-0.0874108078168238,False,False
IND,2000,1999-2007,16,10,6,0,10-6-0,6.25,6.375,-0.125,0.09861932938856016,0.5,26.8125,6.4375,1.0582096579667366,False,False
PHI,2018,2017-2025,16,9,7,0,9-7-0,6.0625,6.1875,-0.125,0.0943579766536965,0.375,22.9375,1.1875,0.4729090420856331,False,False
DAL,2011,2008-2016,16,8,8,0,8-8-0,6.0,6.125,-0.125,0.0959040959040959,-0.25,23.0625,1.375,0.1902155820677117,False,False
MIA,2024,2017-2025,17,8,9,0,8-9-0,5.176470588235294,5.352941176470588,-0.17647058823529413,0.08178438661710037,0.29411764705882354,20.294117647058822,-1.1176470588235294,-0.4078760385039963,False,False
LAC,2024,2017-2025,17,11,6,0,11-6-0,5.882352941176471,6.0588235294117645,-0.17647058823529413,0.10020040080160321,-0.7647058823529411,23.647058823529413,5.9411764705882355,0.6459211041902728,False,False
