season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid,week_index,n_weeks,phase,home_conf,away_conf,indoor,div_game,home_win,decade,phase_label,adj_margin,home_status,away_status,home_games_back,away_games_back
1970,1970-11-15,,REG,PHI,ATL,13,13,False,,fivethirtyeight,0,G000107,9,14,2,NFC,NFC,,,0.5,1970s,Middle third,2.1917386359968343,longshot,alive,4.5,2.0
1970,1970-11-15,,REG,PIT,KC,14,31,False,,fivethirtyeight,-17,G000108,9,14,2,AFC,AFC,,,0.0,1970s,Middle third,-8.039903097818822,alive,alive,0.0,-0.5
1970,1970-11-15,,REG,GB,CHI,20,19,False,,fivethirtyeight,1,G000109,9,14,2,NFC,NFC,,,1.0,1970s,Middle third,5.042925079583484,alive,alive,1.5,2.5
1970,1970-11-15,,REG,DEN,OAK,19,24,False,,fivethirtyeight,-5,G000110,9,14,2,AFC,AFC,,,0.0,1970s,Middle third,-1.3718638403668049,alive,alive,0.0,-1.0
1970,1970-11-15,,REG,NE,LAC,14,16,False,,fivethirtyeight,-2,G000111,9,14,2,AFC,AFC,,,0.0,1970s,Middle third,13.185353458666997,longshot,alive,3.0,0.0
1970,1970-11-15,,REG,MIN,DET,24,20,False,,fivethirtyeight,4,G000112,9,14,2,NFC,NFC,,,1.0,1970s,Middle third,2.975826147933832,alive,alive,-2.0,0.5
1970,1970-11-15,,REG,TEN,SF,20,30,False,,fivethirtyeight,-10,G000113,9,14,2,AFC,NFC,,,0.0,1970s,Middle third,5.7516804414412235,alive,alive,1.5,-1.5
1970,1970-11-15,,REG,NYG,WSH,35,33,False,,fivethirtyeight,2,G000114,9,14,2,NFC,NFC,,,1.0,1970s,Middle third,2.9805740168754467,alive,alive,0.5,1.5
1970,1970-11-15,,REG,MIA,NO,21,10,False,,fivethirtyeight,11,G000115,9,14,2,AFC,NFC,,,1.0,1970s,Middle third,4.470295878344467,alive,longshot,0.0,3.0
1970,1970-11-16,,REG,DAL,ARI,0,38,False,,fivethirtyeight,-38,G000116,9,14,2,NFC,NFC,,,0.0,1970s,Middle third,-37.53660693167865,alive,alive,0.5,-1.0
1970,1970-11-22,,REG,NO,DEN,6,31,False,,fivethirtyeight,-25,G000117,10,14,3,NFC,AFC,,,0.0,1970s,Late (final third),-19.742719877514045,longshot,alive,3.5,1.0
1970,1970-11-22,,REG,CLE,TEN,28,14,False,,fivethirtyeight,14,G000118,10,14,3,AFC,AFC,,,1.0,1970s,Late (final third),4.1982879089170595,alive,alive,1.0,2.5
1970,1970-11-22,,REG,DET,SF,28,7,False,,fivethirtyeight,21,G000119,10,14,3,NFC,NFC,,,1.0,1970s,Late (final third),13.45813090445408,alive,alive,1.0,-2.0
1970,1970-11-22,,REG,KC,ARI,6,6,False,,fivethirtyeight,0,G000120,10,14,3,AFC,NFC,,,0.5,1970s,Late (final third),5.909794673637901,alive,alive,-0.5,-1.5
1970,1970-11-22,,REG,NYJ,NE,17,3,False,,fivethirtyeight,14,G000121,10,14,3,AFC,AFC,,,1.0,1970s,Late (final third),3.0027184932767668,longshot,longshot,3.0,4.0
1970,1970-11-22,,REG,MIA,IND,34,17,False,,fivethirtyeight,17,G000122,10,14,3,AFC,AFC,,,1.0,1970s,Late (final third),18.733943915066547,alive,alive,0.0,-2.5
1970,1970-11-22,,REG,MIN,GB,10,3,False,,fivethirtyeight,7,G000123,10,14,3,NFC,NFC,,,1.0,1970s,Late (final third),-9.909496843453617,alive,alive,-2.5,1.0
1970,1970-11-22,,REG,CIN,PIT,34,7,False,,fivethirtyeight,27,G000124,10,14,3,AFC,AFC,,,1.0,1970s,Late (final third),19.022308325332276,alive,alive,2.0,1.0
1970,1970-11-22,,REG,WSH,DAL,21,45,False,,fivethirtyeight,-24,G000125,10,14,3,NFC,NFC,,,0.0,1970s,Late (final third),-19.988170286267433,alive,alive,2.0,1.0
1970,1970-11-22,,REG,ATL,LAR,7,17,False,,fivethirtyeight,-10,G000126,10,14,3,NFC,NFC,,,0.0,1970s,Late (final third),1.8903213825806144,alive,alive,2.0,0.5
1970,1970-11-22,,REG,OAK,LAC,20,17,False,,fivethirtyeight,3,G000127,10,14,3,AFC,AFC,,,1.0,1970s,Late (final third),1.274574265072614,alive,alive,-1.0,0.0
1970,1970-11-22,,REG,CHI,BUF,31,13,False,,fivethirtyeight,18,G000128,10,14,3,NFC,AFC,,,1.0,1970s,Late (final third),3.5057422541399745,longshot,alive,3.0,1.5
1970,1970-11-23,,REG,PHI,NYG,23,20,False,,fivethirtyeight,3,G000129,10,14,3,NFC,NFC,,,1.0,1970s,Late (final third),9.448320362390184,longshot,alive,4.5,-0.5
1970,1970-11-26,,REG,DET,OAK,28,14,False,,fivethirtyeight,14,G000130,11,14,3,NFC,AFC,,,1.0,1970s,Late (final third),0.9835883005241008,alive,alive,0.5,-2.0
